plotID,avg,std,ske,kur,p05,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p99,d0,d1,d2,d3,d4,cov,dns
1,1.84,0.39,0.76,3.12,1.34,1.39,1.43,1.47,1.51,1.56,1.62,1.67,1.72,1.77,1.83,1.89,1.94,2.01,2.09,2.17,2.27,2.39,2.56,2.89,10.3,0,0,0,0,10.3,10.3
10,6.99,0.75,0.49,4.91,5.82,6.06,6.22,6.37,6.49,6.6,6.71,6.8,6.89,6.97,7.06,7.14,7.23,7.34,7.44,7.57,7.72,7.94,8.23,8.83,0.1,97,0.3,0,0,99.2,97.3
100,15.03,9.84,0.12,1.48,2.53,3.16,3.66,4.1,4.73,5.23,6.58,10.76,12.84,14.66,16.2,18.21,21.14,23.26,25.37,26.4,27.52,28.45,29.24,30.63,24.6,10.6,12.2,11.9,9.6,96.2,94.7
105,16.6,9.06,-0.32,1.53,1.92,2.53,4.44,7.46,8.92,9.97,11.15,12.7,14.53,17.04,22.9,24.06,24.58,25.04,25.39,25.71,25.95,26.23,26.57,27.14,8.1,11.6,13.1,4.1,14.5,82.1,76.1
108,16.05,12.8,0,1.1,1.61,1.84,2.07,2.3,2.57,2.87,3.27,4.14,8.15,14.38,26.89,27.85,28.4,28.84,29.21,29.58,29.93,30.26,30.6,31.04,26.5,5.6,2.8,1.6,0.8,87,81.6
109,14.61,11.79,0.22,1.24,1.62,1.99,2.35,2.71,3.07,3.43,4.02,5.16,7.33,10.12,13.91,21.06,26.45,27.33,28.03,28.66,29.12,29.61,30.1,30.74,25.3,8.5,6.3,2.3,1.5,80.6,77
112,19.15,3.64,-2.93,12.42,9.32,16.78,17.61,18.11,18.51,18.85,19.17,19.51,19.8,20.05,20.27,20.48,20.69,20.9,21.12,21.33,21.56,21.84,22.2,22.84,1.1,2.5,0.5,35,41.4,91.7,80.4
114,18.75,3.82,-1.91,7.92,10.03,15.05,16.19,16.85,17.42,17.95,18.36,18.72,19.12,19.44,19.79,20.15,20.51,20.89,21.26,21.58,21.93,22.42,23.05,23.91,0.7,3.1,4.4,43.2,38,95.2,89.5
115,18.51,4.6,-2.86,10.45,2.61,16.23,17.57,18.24,18.64,18.95,19.19,19.42,19.62,19.79,19.95,20.12,20.26,20.41,20.58,20.78,21.02,21.32,21.76,22.86,2.8,0.4,1.6,45.9,41.7,96.3,92.3
118,18.69,4.89,-1.08,3.82,9.33,11.2,13.07,14.53,16.34,17.21,18.04,18.63,19.32,19.95,20.44,21.02,21.57,22.05,22.5,22.87,23.23,23.77,24.43,25.13,0.7,4.1,12.3,24.2,40.1,90.9,82.6
119,20.91,6.41,-1.03,2.81,8.3,10.47,12.29,13.9,15.76,19.09,21.62,22.78,23.44,23.91,24.28,24.6,24.93,25.24,25.53,25.88,26.28,26.74,27.31,28.02,1,6.5,12,7,29.3,92.5,84.8
120,18.58,5.51,-1.63,5.04,4.09,10.41,12.62,15.88,17.95,18.7,19.18,19.62,19.99,20.34,20.64,20.95,21.27,21.65,22.09,22.47,22.88,23.33,24,24.84,2.5,3.6,8.9,24,49.5,94.2,89.2
122,18.99,6.18,-1.26,3.81,3.66,9.42,11.89,14.45,15.91,18.14,19.25,19.97,20.51,21.02,21.48,21.9,22.36,22.95,23.43,23.91,24.33,24.83,25.45,26.44,3.7,5.2,10.1,17.5,48.3,95.5,93.1
128,19.04,7.08,-1.06,2.95,3.14,6.85,10.54,12.67,14.06,16.99,19.18,20.74,21.42,21.95,22.44,22.87,23.39,23.93,24.35,24.77,25.21,25.63,26.19,27.05,6.1,5.8,11.7,9.4,41.9,94.7,91.1
13,5.44,2.51,1.01,3.96,2.2,2.67,3.08,3.39,3.65,3.89,4.13,4.39,4.71,5.02,5.3,5.56,5.86,6.2,6.61,7.17,7.97,9.28,10.46,12.82,38.3,35.7,5.7,0.2,0,81.4,79.8
131,16.99,10.02,-0.49,1.53,1.8,2.16,2.51,3.02,4.53,8.84,12.92,16.22,20.3,22.39,23.33,24.06,24.6,25.21,25.77,26.19,26.61,27.02,27.55,28.32,15.6,5.1,5.7,5.1,20.3,84.4,79.1
132,18.51,11.46,-0.57,1.5,1.49,1.67,1.89,2.16,3.07,7.5,13.18,22.47,24.39,25.48,26.12,26.61,27.05,27.45,27.87,28.26,28.67,29.12,29.79,30.79,8.8,4,3.3,1.8,7.4,77.8,69.2
133,19.84,10.55,-0.44,1.5,2.45,3.97,6.07,7.97,9.45,10.81,12.57,15.15,24.67,26.59,27.33,27.9,28.36,28.77,29.14,29.52,29.88,30.23,30.67,31.28,7.6,11.6,10.7,2.9,1.8,84.1,78.9
135,18.04,10.95,-0.52,1.38,1.97,2.42,2.9,3.47,4.39,5.84,9.12,23.27,24.61,25.3,25.79,26.16,26.5,26.79,27.05,27.29,27.53,27.81,28.29,28.93,20.8,8.4,2,0.7,8.8,93.3,90.4
136,18.04,12.81,-0.15,1.12,1.94,2.57,3.01,3.43,3.88,4.46,5.7,8.01,11.06,26.81,28.54,29.16,29.67,30.09,30.37,30.66,30.93,31.29,31.72,32.31,24,9.8,2.5,0.7,1.1,86.7,83.4
137,19.56,13.07,-0.2,1.24,1.69,2.24,2.85,3.63,5.12,7.58,9.6,11.78,14.54,26.82,29.56,30.36,31.02,31.57,32.12,32.58,33.09,33.57,34.01,34.55,14.2,9.5,8.2,1.9,1.2,83,78.1
138,19.4,12.09,-0.32,1.36,1.72,2.16,2.61,3.64,6.67,9.41,11.93,13.91,17.16,27.38,28.92,29.66,30.11,30.48,30.74,30.99,31.24,31.48,31.77,32.23,10.3,6.4,8.4,4.2,0.6,74.3,68.1
141,23.27,4.81,-2.52,9.59,11.13,18.78,21.19,22.17,22.82,23.3,23.72,24.1,24.43,24.7,24.94,25.2,25.44,25.69,25.94,26.21,26.47,26.79,27.24,27.89,0.3,1.9,3.6,2.8,36.3,89.6,81
146,22.59,7.16,-1.67,4.67,3.75,10.78,13.94,17.71,22.29,23.29,23.99,24.75,25.33,25.72,26.03,26.29,26.56,26.82,27.09,27.33,27.62,27.92,28.25,28.77,2.9,3,6.6,4.2,19,93.2,88.2
